Date,Time,Nitrogen dioxide,Status
13/03/2021,18:00:00,10.75013,V ugm-3
13/03/2021,19:00:00,35.19003,V ugm-3
13/03/2021,20:00:00,33.26334,V ugm-3
13/03/2021,21:00:00,26.51525,V ugm-3
13/03/2021,22:00:00,20.8259,V ugm-3
13/03/2021,23:00:00,22.60983,V ugm-3
13/03/2021,0:00:00,15.18594,V ugm-3
14/03/2021,01:00:00,8.6809,V ugm-3
14/03/2021,02:00:00,6.6876,V ugm-3
14/03/2021,03:00:00,4.72643,V ugm-3
14/03/2021,04:00:00,3.95469,V ugm-3
14/03/2021,05:00:00,4.48522,V ugm-3
14/03/2021,06:00:00,5.44973,V ugm-3
14/03/2021,07:00:00,17.50605,V ugm-3
14/03/2021,08:00:00,13.45431,V ugm-3
14/03/2021,09:00:00,6.70294,V ugm-3
14/03/2021,10:00:00,4.58096,V ugm-3
14/03/2021,11:00:00,3.90592,V ugm-3
14/03/2021,12:00:00,4.72592,V ugm-3
14/03/2021,13:00:00,5.49752,V ugm-3
14/03/2021,14:00:00,5.93165,V ugm-3
14/03/2021,15:00:00,17.55225,V ugm-3
14/03/2021,16:00:00,22.03706,V ugm-3
14/03/2021,17:00:00,20.78368,V ugm-3
14/03/2021,18:00:00,19.96454,V ugm-3
14/03/2021,19:00:00,17.98779,V ugm-3
14/03/2021,20:00:00,21.26604,V ugm-3
14/03/2021,21:00:00,20.01331,V ugm-3
14/03/2021,22:00:00,8.05401,V ugm-3
14/03/2021,23:00:00,7.57185,V ugm-3
14/03/2021,0:00:00,5.98042,V ugm-3
15/03/2021,01:00:00,4.696,V ugm-3
15/03/2021,02:00:00,5.53228,V ugm-3
15/03/2021,03:00:00,3.28077,V ugm-3
15/03/2021,04:00:00,4.00447,V ugm-3
15/03/2021,05:00:00,4.2457,V ugm-3
15/03/2021,06:00:00,4.29395,V ugm-3
15/03/2021,07:00:00,12.013,V ugm-3
15/03/2021,08:00:00,10.90315,V ugm-3
15/03/2021,09:00:00,12.01117,V ugm-3
15/03/2021,10:00:00,8.73161,V ugm-3
15/03/2021,11:00:00,9.45487,V ugm-3
15/03/2021,12:00:00,8.2009,V ugm-3
15/03/2021,13:00:00,11.81797,V ugm-3
15/03/2021,14:00:00,10.22634,V ugm-3
15/03/2021,15:00:00,11.28795,V ugm-3
15/03/2021,16:00:00,17.60727,V ugm-3
15/03/2021,17:00:00,15.43748,V ugm-3
15/03/2021,18:00:00,23.06085,V ugm-3
15/03/2021,19:00:00,16.59621,V ugm-3
15/03/2021,20:00:00,15.48672,V ugm-3
15/03/2021,21:00:00,21.85505,V ugm-3
15/03/2021,22:00:00,22.28927,V ugm-3
15/03/2021,23:00:00,21.9999,V ugm-3
15/03/2021,0:00:00,15.96926,V ugm-3
16/03/2021,01:00:00,15.18664,V ugm-3
16/03/2021,02:00:00,18.98315,V ugm-3
16/03/2021,03:00:00,16.3126,V ugm-3
16/03/2021,04:00:00,12.45175,V ugm-3
16/03/2021,05:00:00,15.05785,V ugm-3
16/03/2021,06:00:00,36.48122,V ugm-3
16/03/2021,07:00:00,41.06268,V ugm-3
16/03/2021,08:00:00,31.4634,V ugm-3
