Date,Time,Nitrogen dioxide,Status
31/03/2021,12:00:00,16.33708,V ugm-3
31/03/2021,13:00:00,16.0652,V ugm-3
31/03/2021,14:00:00,24.07573,V ugm-3
31/03/2021,15:00:00,29.90538,V ugm-3
31/03/2021,16:00:00,32.18757,V ugm-3
31/03/2021,17:00:00,27.37072,V ugm-3
31/03/2021,18:00:00,37.24426,V ugm-3
31/03/2021,19:00:00,69.62899,V ugm-3
31/03/2021,20:00:00,94.10219,V ugm-3
31/03/2021,21:00:00,88.66007,V ugm-3
31/03/2021,22:00:00,80.09689,V ugm-3
31/03/2021,23:00:00,70.90551,V ugm-3
31/03/2021,0:00:00,69.42408,V ugm-3
01/04/2021,01:00:00,64.22525,V ugm-3
01/04/2021,02:00:00,53.91568,V ugm-3
01/04/2021,03:00:00,53.01534,V ugm-3
01/04/2021,04:00:00,30.53731,V ugm-3
01/04/2021,05:00:00,13.71891,V ugm-3
01/04/2021,06:00:00,19.97814,V ugm-3
01/04/2021,07:00:00,21.69616,V ugm-3
01/04/2021,08:00:00,18.66487,V ugm-3
01/04/2021,09:00:00,15.69842,V ugm-3
01/04/2021,10:00:00,11.27677,V ugm-3
01/04/2021,11:00:00,9.59122,V ugm-3
01/04/2021,12:00:00,8.1948,V ugm-3
01/04/2021,13:00:00,6.80108,V ugm-3
01/04/2021,14:00:00,8.98049,V ugm-3
01/04/2021,15:00:00,13.89533,V ugm-3
01/04/2021,16:00:00,16.0889,V ugm-3
01/04/2021,17:00:00,16.4895,V ugm-3
01/04/2021,18:00:00,21.66503,V ugm-3
01/04/2021,19:00:00,11.5159,V ugm-3
01/04/2021,20:00:00,13.8142,V ugm-3
01/04/2021,21:00:00,9.72494,V ugm-3
01/04/2021,22:00:00,6.76456,V ugm-3
01/04/2021,23:00:00,4.18522,V ugm-3
01/04/2021,0:00:00,2.90027,V ugm-3
02/04/2021,01:00:00,2.45707,V ugm-3
02/04/2021,02:00:00,3.27549,V ugm-3
02/04/2021,03:00:00,2.00722,V ugm-3
02/04/2021,04:00:00,2.45661,V ugm-3
02/04/2021,05:00:00,3.23895,V ugm-3
02/04/2021,06:00:00,5.76473,V ugm-3
02/04/2021,07:00:00,8.11856,V ugm-3
02/04/2021,08:00:00,6.88137,V ugm-3
02/04/2021,09:00:00,8.10557,V ugm-3
02/04/2021,10:00:00,7.88019,V ugm-3
02/04/2021,11:00:00,6.86701,V ugm-3
02/04/2021,12:00:00,5.69009,V ugm-3
02/04/2021,13:00:00,6.86359,V ugm-3
02/04/2021,14:00:00,7.48151,V ugm-3
02/04/2021,15:00:00,7.03417,V ugm-3
02/04/2021,16:00:00,7.14925,V ugm-3
02/04/2021,17:00:00,6.87795,V ugm-3
02/04/2021,18:00:00,8.8968,V ugm-3
02/04/2021,19:00:00,9.18723,V ugm-3
02/04/2021,20:00:00,5.48249,V ugm-3
02/04/2021,21:00:00,5.03515,V ugm-3
02/04/2021,22:00:00,7.73355,V ugm-3
02/04/2021,23:00:00,10.93683,V ugm-3
02/04/2021,0:00:00,5.49069,V ugm-3
03/04/2021,01:00:00,3.96478,V ugm-3
03/04/2021,02:00:00,4.11392,V ugm-3
03/04/2021,03:00:00,6.6829,V ugm-3
03/04/2021,04:00:00,2.91454,V ugm-3
03/04/2021,05:00:00,2.51922,V ugm-3
03/04/2021,06:00:00,4.36591,V ugm-3
03/04/2021,07:00:00,6.05556,V ugm-3
03/04/2021,08:00:00,7.5646,V ugm-3
03/04/2021,09:00:00,8.01272,V ugm-3
03/04/2021,10:00:00,6.88444,V ugm-3
03/04/2021,11:00:00,7.05465,V ugm-3
03/04/2021,12:00:00,7.4368,V ugm-3
03/04/2021,13:00:00,6.65657,V ugm-3
03/04/2021,14:00:00,6.83025,V ugm-3
03/04/2021,15:00:00,7.28183,V ugm-3
03/04/2021,16:00:00,8.11626,V ugm-3
03/04/2021,17:00:00,7.56044,V ugm-3
03/04/2021,18:00:00,8.80404,V ugm-3
03/04/2021,19:00:00,9.64817,V ugm-3
03/04/2021,20:00:00,8.19264,V ugm-3
03/04/2021,21:00:00,8.4754,V ugm-3
03/04/2021,22:00:00,5.71791,V ugm-3
03/04/2021,23:00:00,5.38095,V ugm-3
03/04/2021,0:00:00,6.16811,V ugm-3
04/04/2021,01:00:00,4.04133,V ugm-3
04/04/2021,02:00:00,1.19053,V ugm-3
04/04/2021,03:00:00,1.00284,V ugm-3
04/04/2021,04:00:00,1.1177,V ugm-3
04/04/2021,05:00:00,3.81816,V ugm-3
04/04/2021,06:00:00,8.94423,V ugm-3
04/04/2021,07:00:00,5.73567,V ugm-3
04/04/2021,08:00:00,5.73216,V ugm-3
04/04/2021,09:00:00,6.0634,V ugm-3
04/04/2021,10:00:00,5.99718,V ugm-3
